C4,S4,O4
0.00600000,0.00600000,0.00600000
0.00620175,0.00604949,0.00628472
0.00676217,0.00675773,0.00678057
0.00751150,0.00762947,0.00762131
0.00849502,0.00862955,0.00853965
0.00949504,0.00957398,0.00950311
0.0103956,0.0104759,0.0104219
0.0112714,0.0114715,0.0112531
0.0121384,0.0124270,0.0121736
0.0131775,0.0134415,0.0131587
0.0140795,0.0144702,0.0140983
0.0152250,0.0157241,0.0150596
0.0162367,0.0169133,0.0160552
0.0173389,0.0180973,0.0171817
0.0185465,0.0192346,0.0183269
0.0194929,0.0202988,0.0194417
0.0206065,0.0213954,0.0206294
0.0217022,0.0226665,0.0216927
0.0227418,0.0237287,0.0226468
0.0238617,0.0250166,0.0238442
0.0249480,0.0265039,0.024892
0.0260652,0.0281204,0.0260707
0.0272364,0.0293516,0.0272159
0.0282825,0.0305145,0.0284459
0.0293437,0.0310827,0.0295393
0.0305306,0.0321582,0.030712
0.0315860,0.0333545,0.0317065
0.0326733,0.0344842,0.032986
0.0337897,0.0357445,0.0340477
0.0348684,0.0371581,0.0350812
0.0359992,0.0384586,0.036284
0.0370720,0.0397667,0.0374952
0.0381934,0.0409319,0.0389477
0.0393081,0.0421153,0.0400659
0.0404097,0.0433119,0.0412549
0.0414734,0.0444967,0.0423169
0.0425629,0.0457431,0.0433054
0.0436038,0.0471518,0.0444573
0.0447000,0.0484562,0.0456393
0.0458345,0.0497708,0.0469349
0.0469235,0.0510477,0.0481364
0.0480393,0.0522377,0.0493698
0.0490875,0.0534768,0.0505408
0.0501530,0.0546793,0.051584
0.0512474,0.0558848,0.0527275
0.0522773,0.0572005,0.0537896
0.0533724,0.0585224,0.0549798
0.0543907,0.0597830,0.0562203
0.0554451,0.0610304,0.0573812
0.0565285,0.0623803,0.0585723
0.0575961,0.0635658,0.0597534
0.0586236,0.0641940,0.0608512
0.0596612,0.0649707,0.0620231
0.0607689,0.0659882,0.0631236
0.0617348,0.0672414,0.06422
0.0627730,0.0682683,0.0654209
0.0637860,0.0695212,0.066579
0.0648175,0.0706567,0.0677686
0.0658358,0.0716861,0.0688835
0.0668535,0.0727768,0.0700825
0.0679212,0.0737717,0.0711945
0.0689009,0.0749199,0.0722652
0.0699548,0.0760160,0.0734055
0.0709633,0.0772068,0.0745665
0.0719567,0.0783422,0.0757011
0.0729274,0.0796614,0.0768004
0.0739102,0.0805618,0.0780044
0.0748967,0.0815158,0.0791685
0.0758892,0.0822816,0.0802136
