3deg,2deg,1deg
0.006,0.006,0.006
0.0061288,0.00613123,0.0061477
0.0065521,0.00654687,0.00655162
0.0072682,0.00726805,0.00727315
0.0080491,0.00804193,0.00805432
0.0088265,0.00879043,0.00884875
0.0095902,0.00958298,0.00959642
0.0103485,0.0103183,0.0103519
0.0110667,0.0110432,0.0110946
0.0117676,0.0117582,0.0117939
0.0124373,0.0124190,0.0124947
0.0131435,0.0130959,0.0131594
0.0139135,0.0139069,0.0139324
0.0147227,0.0147106,0.0147657
0.0156184,0.0155991,0.015618
0.0165360,0.0165020,0.0164978
0.0175255,0.0175127,0.0174258
0.0185939,0.0185888,0.0185101
0.0196749,0.0196586,0.0196109
0.0206380,0.0206312,0.0206121
0.0215881,0.0215922,0.0215415
0.0224868,0.0224967,0.022468
0.0233372,0.0233451,0.0233189
0.0241206,0.0241222,0.0241096
0.0249395,0.0249657,0.0249242
0.0258176,0.0258439,0.0257614
0.0266940,0.0267217,0.0266533
0.0276537,0.0276603,0.0276062
0.0285862,0.0286173,0.0286112
0.0297927,0.0297828,0.0298842
0.0311293,0.0310968,0.0311287
0.0322721,0.0322563,0.0322262
0.0332355,0.0332772,0.0331953
0.0341788,0.0342583,0.0341292
0.0350648,0.0351721,0.0350526
0.0358032,0.0359705,0.0358962
0.0365876,0.0368044,0.0367349
0.0374105,0.0376083,0.0376409
0.0382461,0.0384302,0.0385454
0.0391895,0.0393492,0.0394806
0.0402408,0.0403395,0.04056
0.0415997,0.0414782,0.0418695
0.0428951,0.0429019,0.0431134
0.0440045,0.0440884,0.0441826
0.0450032,0.0451248,0.045224
0.0459166,0.0461233,0.0462067
0.0467907,0.0470346,0.0471525
0.0475659,0.0478929,0.0480439
0.0484079,0.0486977,0.0489024
0.0492567,0.0495591,0.0498078
0.0502074,0.0504116,0.0506753
0.0512215,0.0513098,0.0515899
0.0526157,0.0522913,0.0525161
0.0539000,0.0533913,0.0535158
0.0549464,0.0547630,0.0547159
0.0559049,0.0560626,0.0561326
0.0568139,0.0571872,0.0573572
0.0576751,0.0582461,0.0584427
0.0585025,0.0592270,0.059452
0.0593837,0.0601579,0.0604157
0.0602622,0.0610054,0.0612979
0.0612546,0.0618631,0.0621174
0.0623521,0.0626947,0.0629677
0.0638095,0.0636281,0.0637979
0.0650149,0.0645564,0.0647148
0.0660302,0.0655721,0.0657562
0.0669920,0.0666584,0.0667672
0.0679294,0.0679944,0.0680036
0.0687700,0.0693215,0.0693754
0.0696268,0.0704687,0.0705855
0.0704798,0.0715386,0.0716801
0.0714007,0.0725474,0.0727089
0.0723052,0.0734914,0.0737087
0.0733466,0.0743415,0.0746403
0.0747951,0.0751641,0.0755056
0.0760988,0.0760282,0.0763996
0.0771917,0.0769132,0.0772423
0.0781782,0.0778772,0.0781467
0.0791294,0.0788936,0.0791449
0.0800188,0.0800759,0.080157
0.0808073,0.0815524,0.0812634
0.0816256,0.0827479,0.082622
0.0825416,0.0838216,0.0839376
0.0834910,0.0848325,0.0851242
0.0846342,0.0858487,0.0862025
0.0861938,0.0867803,0.0871609
