S1,S2,S3,S4,C1,C2,C3,C4,O1,O2,O3,O4
0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006                                                                                            
0.00863655,0.00871155,0.00877544,0.00862955,0.00817622,0.00846051,0.00853693,0.00849502,0.00827761,0.0084979,0.00845535,0.00853965
0.0123675,0.0125230,0.0125998,0.0124270,0.0117934,0.0119441,0.0121142,0.0121384,0.0117852,0.0122158,0.0121567,0.0121736
0.0155974,0.0164987,0.0168571,0.0169133,0.0147327,0.0155273,0.0160805,0.0162367,0.0145230,0.0160956,0.0159624,0.0160552
0.0191479,0.0205781,0.0216134,0.0213954,0.0178452,0.0192560,0.0203707,0.0206065,0.0178952,0.0202319,0.0202191,0.0206294
0.0224574,0.0254155,0.0261776,0.0265039,0.0206179,0.0231396,0.0245383,0.0249480,0.0208912,0.0243229,0.0246459,0.0248920
0.0262541,0.0303683,0.0311165,0.0310827,0.0235418,0.0267265,0.0287612,0.0293437,0.0239058,0.0284790,0.0288938,0.0295393
0.0300895,0.0348036,0.0359568,0.0357445,0.0263334,0.0303205,0.0329928,0.0337897,0.0269975,0.0329050,0.0332822,0.0340477
0.0333055,0.0392747,0.0408615,0.0409319,0.0291650,0.0339064,0.0373021,0.0381934,0.0300077,0.0370413,0.0378308,0.0389477
0.0367268,0.0441825,0.0457982,0.0457431,0.0321324,0.0376125,0.0414786,0.0425629,0.0330231,0.0411584,0.0423616,0.0433054
0.0401466,0.0487479,0.0509721,0.0510477,0.0348381,0.0411167,0.0455852,0.0469235,0.0357545,0.0452060,0.0468189,0.0481364
0.0434971,0.0535934,0.0561969,0.0558848,0.0373281,0.0445427,0.0496644,0.0512474,0.0386766,0.0491891,0.0513299,0.0527275
0.0466748,0.0582069,0.0611622,0.0610304,0.0397983,0.0480592,0.0537340,0.0543907,0.0414821,0.0531900,0.0557521,0.0573812
0.0499982,0.0628471,0.0661894,0.0649707,0.0423218,0.0514270,0.0576954,0.0596612,0.0441673,0.0572344,0.0601511,0.0620231
0.0533037,0.0673554,0.0710575,0.0695212,0.0449175,0.0547124,0.0616930,0.0637860,0.0468958,0.0612496,0.0645042,0.0665790
0.0565124,0.0718843,0.0754949,0.0737717,0.0473998,0.0579624,0.0655780,0.0679212,0.0495429,0.0652107,0.0688896,0.0711945
0.0594825,0.0763609,0.0795127,0.0783422,0.0497771,0.0613322,0.0693545,0.0719567,0.0522261,0.0691421,0.0732563,0.0757011
0.0628966,0.0807845,0.0834887,0.0822816,0.0521694,0.0645327,0.0730552,0.0758892,0.0548019,0.0730455,0.0775560,0.0802136
