y,deg3,deg2,deg1
0,0.384962,0.457232,0.47009
1E-05,0.385099,0.457756,0.470487
2E-05,0.385236,0.45828,0.470884
3E-05,0.385374,0.458804,0.471282
4E-05,0.385511,0.459328,0.471679
5E-05,0.385648,0.459852,0.472076
6E-05,0.385785,0.460377,0.472474
7E-05,0.385923,0.460901,0.472871
8E-05,0.38606,0.461425,0.473269
9E-05,0.386198,0.461949,0.473666
0.0001,0.386335,0.462473,0.474064
0.00011,0.386473,0.462998,0.474461
0.00012,0.386611,0.463522,0.474859
0.00013,0.386749,0.464047,0.475257
0.00014,0.387024,0.464941,0.475615
0.00015,0.387368,0.466019,0.475955
0.00016,0.387711,0.467097,0.476294
0.00017,0.388054,0.468176,0.476634
0.00018,0.388398,0.469254,0.476973
0.00019,0.388742,0.470332,0.477313
0.0002,0.389085,0.471411,0.477653
0.00021,0.389429,0.47249,0.477993
0.00022,0.389773,0.473568,0.478333
0.00023,0.390117,0.474647,0.478673
0.00024,0.390461,0.475726,0.479013
0.00025,0.390805,0.476804,0.479354
0.00026,0.391149,0.477883,0.479694
0.00027,0.391482,0.478809,0.479861
0.00028,0.391791,0.479435,0.479681
0.00029,0.392101,0.480061,0.479501
0.0003,0.39241,0.480687,0.479321
0.00031,0.39272,0.481312,0.479141
0.00032,0.393029,0.481938,0.478961
0.00033,0.393339,0.482564,0.478782
0.00034,0.393648,0.48319,0.478602
0.00035,0.393957,0.483816,0.478423
0.00036,0.394267,0.484441,0.478243
0.00037,0.394576,0.485067,0.478064
0.00038,0.394886,0.485693,0.477885
0.00039,0.395195,0.486319,0.477705
0.0004,0.395503,0.486939,0.477526
0.00041,0.395704,0.486707,0.477258
0.00042,0.395905,0.486474,0.476989
0.00043,0.396106,0.486242,0.476721
0.00044,0.396307,0.486009,0.476453
0.00045,0.396508,0.485777,0.476185
0.00046,0.396709,0.485544,0.475917
0.00047,0.39691,0.485311,0.475649
0.00048,0.397112,0.485079,0.475382
0.00049,0.397313,0.484846,0.475114
0.0005,0.397515,0.484614,0.474847
0.00051,0.397716,0.484381,0.474579
0.00052,0.397918,0.484149,0.474312
0.00053,0.398119,0.483916,0.474045
0.00054,0.398295,0.483381,0.473722
0.00055,0.398459,0.482701,0.473371
0.00056,0.398623,0.48202,0.473021
0.00057,0.398788,0.48134,0.47267
0.00058,0.398953,0.48066,0.47232
0.00059,0.399118,0.479979,0.47197
